央视频道,#genre#
天下足球,http://127.0.0.1:4022/udp/239.21.1.162:5002
财富天下-SD,http://127.0.0.1:4022/udp/239.21.1.127:5002
四海钓鱼-SD,http://127.0.0.1:4022/udp/239.21.2.99:5002
中华特产-SD,http://127.0.0.1:4022/udp/239.21.2.118:5002
环球旅游-SD,http://127.0.0.1:4022/udp/239.21.2.115:5002
生态环境-SD,http://127.0.0.1:4022/udp/239.21.2.117:5002
车迷频道-SD,http://127.0.0.1:4022/udp/239.21.2.116:5002
先锋乒羽-SD,http://127.0.0.1:4022/udp/239.21.2.98:5002
书画频道-SD,http://127.0.0.1:4022/udp/239.21.2.111:5002
家庭理财-SD,http://127.0.0.1:4022/udp/239.21.2.112:5002

教育频道,#genre#
中国教育CETV1,http://127.0.0.1:4022/udp/239.21.2.7:5002
中国教育CETV2-SD,http://127.0.0.1:4022/udp/239.21.2.8:5002
中国教育CETV4,http://127.0.0.1:4022/udp/239.21.2.129:5002#http://127.0.0.1:4022/udp/239.21.1.222:5002
金色学堂,http://127.0.0.1:4022/udp/239.21.2.102:5002

少儿频道,#genre#
动漫秀场,http://127.0.0.1:4022/udp/239.21.2.92:5002
北京卡酷少儿,http://127.0.0.1:4022/udp/239.21.2.120:5002
金鹰卡通,http://127.0.0.1:4022/udp/239.21.2.121:5002
新动漫-SD,http://127.0.0.1:4022/udp/239.21.2.93:5002
哈哈炫动-SD,http://127.0.0.1:4022/udp/239.21.1.51:5002
优漫卡通-SD,http://127.0.0.1:4022/udp/239.21.1.50:5002
优优宝贝-SD,http://127.0.0.1:4022/udp/239.21.2.94:5002
嘉佳卡通-SD,http://127.0.0.1:4022/udp/239.21.2.5:5002

购物频道,#genre#
山东居家购物,http://127.0.0.1:4022/udp/239.21.1.112:5002
CCTV中视购物-SD,http://127.0.0.1:4022/udp/239.21.1.100:5002
快乐购-SD,http://127.0.0.1:4022/udp/239.21.2.124:5002
风尚购物-SD,http://127.0.0.1:4022/udp/239.21.2.125:5002

广播电台,#genre#
9屏同播,http://127.0.0.1:4022/udp/239.21.1.203:5002
山东经济广播,http://127.0.0.1:4022/udp/239.21.2.148:5002
山东交通广播,http://127.0.0.1:4022/udp/239.21.2.151:5002
山东广播电台综合广播,http://127.0.0.1:4022/udp/239.21.2.36:5002
